"preprint_date","pathogen","title","repo","link","pmid","journal","publisher","pub_type","new_data","new_analysis"
2015-01-12,"ebola","The F1000Research: Ebola article collection.","F1000Res","http://dx.doi.org/10.12688/f1000research.5685.1","25580233","F1000Res","F1000","Journal Article",0,0
2015-01-15,"ebola","Ebola virus disease outbreak in Nigeria: transmission dynamics and rapid control","peerj","http://dx.doi.org/10.7287/peerj.preprints.569v3","25979285","Epidemics",NA,"Journal Article",0,1
2015-01-22,"ebola","Forecasting and Uncertainty in Modeling the 2014-2015 Ebola Epidemic in West Africa","arxiv","http://arxiv.org/abs/1501.05555v3",NA,NA,NA,NA,NA,NA
2015-01-27,"ebola","Ebola virus is evolving but not changing: no evidence for functional change in EBOV from 1976 to the 2014 outbreak","biorxiv","http://dx.doi.org/10.1101/014480","25880111","Virology",NA,"Journal Article",0,1
2015-02-04,"ebola","Predicting the extinction of Ebola spreading in Liberia due to mitigation strategies","arxiv","http://arxiv.org/abs/1502.01326v5","26190582","Sci Rep","Springer Nature","Journal Article",0,1
2015-02-09,"ebola","A common feature pharmacophore for FDA-approved drugs inhibiting the Ebola virus.","F1000Res","http://dx.doi.org/10.12688/f1000research.5741.2","25653841","F1000Res","F1000","Journal Article",0,1
2015-02-25,"ebola","Small molecules with antiviral activity against the Ebola virus.","F1000Res","http://dx.doi.org/10.12688/f1000research.6120.1","25713700","F1000Res","F1000","Journal Article",0,1
2015-02-26,"ebola","Virtual screen for repurposing approved and experimental drugs for candidate inhibitors of EBOLA virus infection.","F1000Res","http://dx.doi.org/10.12688/f1000research.6110.1","25717373","F1000Res","F1000","Journal Article",0,1
2015-03-02,"ebola","Characterizing alpha helical properties of Ebola viral proteins as potential targets for inhibition of alpha-helix mediated protein-protein interactions.","F1000Res","http://dx.doi.org/10.12688/f1000research.5573.3","25717367","F1000Res","F1000","Journal Article",0,1
2015-03-13,"ebola","Mathematical Modelling, Simulation, and Optimal Control of the 2014 Ebola Outbreak in West Africa","arxiv","http://arxiv.org/abs/1503.07396v1",NA,NA,NA,NA,NA,NA
2015-03-23,"ebola","FDA approved drugs as potential Ebola treatments.","F1000Res","http://dx.doi.org/10.12688/f1000research.6164.2","25789163","F1000Res","F1000","Journal Article",0,0
2015-03-24,"ebola","Ebola outbreak in West Africa: real-time estimation and multiple-wave prediction","arxiv","http://arxiv.org/abs/1503.06908v2","26280179","Math Biosci Eng",NA,"Journal Article",0,1
2015-03-27,"ebola","New Routes to Phylogeography","arxiv","http://arxiv.org/abs/1503.08138v1","26267488","PLoS Genet","PLOS","Journal Article",0,1
2015-04-01,"ebola","A Model of the Ebola Epidemics in West Africa Incorporating Age of Infection","arxiv","http://arxiv.org/abs/1504.00394v1","26536076","J Biol Dyn",NA,"Journal Article",0,1
2015-04-02,"ebola","Eliciting Disease Data from Wikipedia Articles","arxiv","http://arxiv.org/abs/1504.00657v4","28721308","Proc Int AAAI Conf Weblogs Soc Media",NA,"Journal Article",0,1
2015-04-06,"ebola","Progmosis: Evaluating Risky Individual Behavior During Epidemics Using Mobile Network Data","arxiv","http://arxiv.org/abs/1504.01316v1",NA,NA,NA,NA,NA,NA
2015-04-11,"ebola","Data Science and Ebola","arxiv","http://arxiv.org/abs/1504.02878v1",NA,NA,NA,NA,NA,NA
2015-05-06,"ebola","Rapid drop in the reproduction number during the Ebola outbreak in the Democratic Republic of Congo","peerj","http://dx.doi.org/10.7287/peerj.preprints.1041v1","26618087","PeerJ",NA,"Journal Article",0,1
2015-05-14,"ebola","Modeling Contact Tracing in Outbreaks with Application to Ebola","arxiv","http://arxiv.org/abs/1505.03821v2","26297316","J Theor Biol",NA,"Journal Article",0,1
2015-05-26,"ebola","Beyond Contact Tracing: Community-Based Early Detection for Ebola Response","arxiv","http://arxiv.org/abs/1505.07020v2","27486552","PLoS Curr","PLOS","Journal Article",0,1
2015-06-03,"ebola","Rapid metagenomic identification of viral pathogens in clinical samples by real-time nanopore sequencing analysis","biorxiv","http://dx.doi.org/10.1101/020420","26416663","Genome Med",NA,"Journal Article",1,1
2015-06-15,"ebola","Antiviral therapies against Ebola and other emerging viral diseases using existing medicines that block virus entry.","F1000Res","http://dx.doi.org/10.12688/f1000research.6085.2","26069727","F1000Res","F1000","Journal Article",1,1
2015-06-22,"ebola","ISCB Ebola Award for Important Future Research on the Computational Biology of Ebola Virus.","F1000Res","http://dx.doi.org/10.12688/f1000research.6038.1","26097686","F1000Res","F1000","Journal Article",0,0
2015-06-24,"ebola","Epitope specificity and protein signaling interactions driving epidemic occurrences of Ebola disease","F1000Res","http://dx.doi.org/10.12688/f1000research.6515.1",NA,"F1000Res","F1000",NA,NA,NA
2015-07-13,"ebola","In silico analysis suggests repurposing of ibuprofen for prevention and treatment of EBOLA virus disease.","F1000Res","http://dx.doi.org/10.12688/f1000research.6436.1","26167272","F1000Res","F1000","Journal Article",0,1
2015-07-30,"ebola","Modeling Spatial Invasion of Ebola in West Africa","arxiv","http://arxiv.org/abs/1507.08367v2","28551366","J Theor Biol",NA,"Journal Article",0,1
2015-08-03,"ebola","Finding small molecules for the 'next Ebola'.","F1000Res","http://dx.doi.org/10.12688/f1000research.6181.2","25949804","F1000Res","F1000","Journal Article",0,1
2015-08-09,"ebola","Facts and Fabrications about Ebola: A Twitter Based Study","arxiv","http://arxiv.org/abs/1508.02079v1",NA,NA,NA,NA,NA,NA
2015-09-11,"ebola","Mapping phylogenetic trees to reveal distinct patterns of evolution","biorxiv","http://dx.doi.org/10.1101/026641","27343287",NA,NA,"Journal Article",0,1
2015-09-13,"ebola","A general class of spreading processes with non-Markovian dynamics","arxiv","http://arxiv.org/abs/1509.03904v1",NA,NA,NA,NA,NA,NA
2015-10-15,"ebola","From bee species aggregation to models of disease avoidance: The Ben-Hur effect","arxiv","http://arxiv.org/abs/1510.04364v2",NA,NA,NA,NA,NA,NA
2015-10-21,"ebola","Hierarchy of knowledge translation: from health problems to ad-hoc drug design","arxiv","http://arxiv.org/abs/1510.06124v3","27530406","Curr Med Chem",NA,"Journal Article",0,0
2015-10-26,"ebola","Assessing the Efficiency of \textit{Cordon Sanitaire} as a Control Strategy of Ebola","arxiv","http://arxiv.org/abs/1510.07415v1",NA,NA,NA,NA,NA,NA
2015-11-06,"ebola","Modeling the case of early detection of Ebola virus disease","arxiv","http://arxiv.org/abs/1511.04027v1",NA,NA,NA,NA,NA,NA
2015-11-07,"ebola","Network-Based Analysis of a Small Ebola Outbreak","arxiv","http://arxiv.org/abs/1511.02362v1","27879120","Math Biosci Eng",NA,"Journal Article",0,1
2015-11-18,"ebola","Potential impact of sexual transmission of Ebola virus on the epidemic in West Africa","biorxiv","http://dx.doi.org/10.1101/031880","27135922","PLoS Negl Trop Dis","PLOS","Journal Article",0,1
2015-11-19,"ebola","Predicting and controlling the Ebola infection","arxiv","http://arxiv.org/abs/1511.06323v1",NA,NA,NA,NA,NA,NA
2015-11-20,"ebola","Shared genomic variants: identification of transmission routes using pathogen deep sequence data","biorxiv","http://dx.doi.org/10.1101/032458","29149252",NA,NA,"Journal Article",0,1
2015-11-25,"zika","Spread of the pandemic Zika virus lineage is associated with NS1 codon usage adaptation in humans","biorxiv","http://dx.doi.org/10.1101/032839",NA,NA,NA,NA,NA,NA
2015-12-04,"ebola","A generalized-growth model to characterize the early ascending phase of infectious disease outbreaks","arxiv","http://arxiv.org/abs/1512.01389v2","27266847",NA,NA,"Journal Article",0,1
2015-12-09,"ebola","Approximated Analytical Solution to an Ebola Optimal Control Problem","arxiv","http://arxiv.org/abs/1512.02843v1",NA,NA,NA,NA,NA,NA
2015-12-10,"ebola","Optimal control strategies for the spread of Ebola in West Africa","arxiv","http://arxiv.org/abs/1512.03395v1",NA,NA,NA,NA,NA,NA
2015-12-16,"ebola","Reality Mining with Mobile Big Data: Understanding the Impact of Network Structure on Propagation Dynamics","arxiv","http://arxiv.org/abs/1512.05212v1",NA,NA,NA,NA,NA,NA
2015-12-20,"ebola","Ebola impact and quarantine in a network model","arxiv","http://arxiv.org/abs/1512.06305v1",NA,NA,NA,NA,NA,NA
2016-01-21,"ebola","Stochasticity and the limits to confidence when estimating R_0 of Ebola and other emerging infectious diseases","arxiv","http://arxiv.org/abs/1601.06829v1","27524644","J Theor Biol",NA,"Journal Article",0,1
2016-01-23,"ebola","The 2013-2016 West African Ebola virus outbreak: Local contexts and future issues","peerj","http://dx.doi.org/10.7287/peerj.preprints.1678v1",NA,NA,NA,NA,NA,NA
2016-01-28,"ebola","Sequential Monte Carlo Filtering Estimation of Ebola Progression in West Africa","arxiv","http://arxiv.org/abs/1601.07606v1",NA,NA,NA,NA,NA,NA
2016-02-02,"ebola","The PDB database is a rich source of alpha-helical anti-microbial peptides to combat disease causing pathogens.","F1000Res","http://dx.doi.org/10.12688/f1000research.5802.2","26629331","F1000Res","F1000","Journal Article",0,0
2016-02-07,"zika","Transmission dynamics of Zika virus in island populations: a modelling analysis of the 2013-14 French Polynesia outbreak","biorxiv","http://dx.doi.org/10.1101/038588","27186984","PLoS Negl Trop Dis","PLOS","Journal Article",0,1
2016-02-09,"ebola","Bacterial sequences detected in 99 out of 99 serum samples from Ebola patients","biorxiv","http://dx.doi.org/10.1101/039107",NA,NA,NA,NA,NA,NA
2016-02-12,"zika","Model-based projections of Zika virus infections in childbearing women in the Americas","biorxiv","http://dx.doi.org/10.1101/039610","27562260","Nat Microbiol","Springer Nature","Journal Article",0,1
2016-02-18,"zika","A fractional order network model for ZIKA","biorxiv","http://dx.doi.org/10.1101/039917",NA,NA,NA,NA,NA,NA
2016-02-18,"zika","Working with Zika and Usutu Viruses in Vitro","biorxiv","http://dx.doi.org/10.1101/040139","27541001","PLoS Negl Trop Dis","PLOS","Journal Article",1,1
2016-02-19,"zika","ZIKA - How Fast Does This Virus Mutate ?","biorxiv","http://dx.doi.org/10.1101/040303","27029869","Dongwuxue Yanjiu",NA,"Journal Article",0,1
2016-02-19,"zika","An ecological assessment of the pandemic threat of Zika virus","biorxiv","http://dx.doi.org/10.1101/040386","27564232","PLoS Negl Trop Dis","PLOS","Journal Article",0,1
2016-02-23,"zika","Zika virus: A newly emergent vector-borne public health threat in the Americas","peerj","http://dx.doi.org/10.7287/peerj.preprints.1781v1",NA,NA,NA,NA,NA,NA
2016-02-24,"zika","Predicting intensities of Zika infection and microcephaly using transmission intensities of other arboviruses","biorxiv","http://dx.doi.org/10.1101/041095",NA,NA,NA,NA,NA,NA
2016-02-24,"ebola","Publications in PubMed on Ebola and the 2014 outbreak.","F1000Res","http://dx.doi.org/10.12688/f1000research.6206.2","26539291","F1000Res","F1000","Journal Article",0,1
2016-02-26,"ebola","Structure, inhibition and regulation of two-pore channel TPC1 from Arabidopsis thaliana","biorxiv","http://dx.doi.org/10.1101/041400","26961658","Nature","Springer Nature","Journal Article",1,1
2016-02-29,"zika","Zika Virus: Endemic Versus Epidemic Dynamics and Implications for Disease Spread in the Americas","biorxiv","http://dx.doi.org/10.1101/041897",NA,NA,NA,NA,NA,NA
2016-03-01,"zika","Role of short-term dispersal on the dynamics of Zika virus","arxiv","http://arxiv.org/abs/1603.00442v3",NA,NA,NA,NA,NA,NA
2016-03-01,"zika","The viral polymerase inhibitor 7-deaza-2'-C-methyladenosine is a potent inhibitor of in 1 vitro Zika virus replication and delays disease progression in a robust mouse infection model","biorxiv","http://dx.doi.org/10.1101/041905","27163257","PLoS Negl Trop Dis","PLOS","Journal Article",1,1
2016-03-02,"zika","Times to Key Events in the Course of Zika Infection and their Implications for Surveillance: A Systematic Review and Pooled Analysis","biorxiv","http://dx.doi.org/10.1101/041913","27821887","Bull World Health Organ","WHO","Review",NA,NA
2016-03-04,"zika","A susceptible mouse model for Zika virus infection","biorxiv","http://dx.doi.org/10.1101/042358","27149521","PLoS Negl Trop Dis","PLOS","Journal Article",1,1
2016-03-06,"zika","Exploring miRNAs as the key to understand symptoms induced by ZIKA virus infection through a collaborative database.","biorxiv","http://dx.doi.org/10.1101/042382","27332714","PLoS Negl Trop Dis","PLOS","Journal Article",0,0
2016-03-11,"zika","Comparative analysis of dengue and Zika outbreaks reveals differences by setting and virus","biorxiv","http://dx.doi.org/10.1101/043265","27926933","PLoS Negl Trop Dis","PLOS","Comparative Study",NA,NA
2016-03-13,"zika","Zika virus impairs growth in human neurospheres and brain organoids","peerj","http://dx.doi.org/10.7287/peerj.preprints.1817v3","27064148","Science","Science","Journal Article",1,1
2016-03-19,"zika","Zika Virus Disease: A Simple Model Approach to Rapid Impact Assessment","biorxiv","http://dx.doi.org/10.1101/044248",NA,NA,NA,NA,NA,NA
2016-03-19,"zika","Antibody mediated epitope mimicry in the pathogenesis of Zika virus related disease","biorxiv","http://dx.doi.org/10.1101/044834",NA,NA,NA,NA,NA,NA
2016-03-24,"zika","Isolation of infective Zika virus from urine and saliva of patients in Brazil","biorxiv","http://dx.doi.org/10.1101/045443","27341420","PLoS Negl Trop Dis","PLOS","Journal Article",1,1
2016-03-30,"zika","A rhesus macaque model of Asia lineage Zika virus infection","biorxiv","http://dx.doi.org/10.1101/046334","27352279","Nat Commun","Springer Nature","Journal Article",1,1
2016-03-30,"zika","Zika virus outbreak in the Americas: Is Aedes albopictus an overlooked culprit?","biorxiv","http://dx.doi.org/10.1101/044594","27729643","Emerg Microbes Infect","Springer Nature","Journal Article",0,1
2016-03-31,"zika","The Impact of African and Brazilian Zika virus isolates on neuroprogenitors","biorxiv","http://dx.doi.org/10.1101/046599",NA,NA,NA,NA,NA,NA
2016-04-03,"zika","Statistical Analysis of Zika Virus Correlation to Microcephaly","biorxiv","http://dx.doi.org/10.1101/046896",NA,NA,NA,NA,NA,NA
2016-04-05,"zika","Potential for Zika virus to establish a sylvatic transmission cycle in the Americas","biorxiv","http://dx.doi.org/10.1101/047175","27977671","PLoS Negl Trop Dis","PLOS","Journal Article",0,1
2016-04-13,"zika","A Possible Link Between Pyriproxyfen and Microcephaly","arxiv","http://arxiv.org/abs/1604.03834v1",NA,NA,NA,NA,NA,NA
2016-04-13,"zika","Zika virus, a new threat for Europe?","biorxiv","http://dx.doi.org/10.1101/048454","27505002","PLoS Negl Trop Dis","PLOS","Journal Article",1,1
2016-04-13,"zika","A Possible Link Between Pyriproxyfen and Microcephaly","biorxiv","http://dx.doi.org/10.1101/048538",NA,NA,NA,NA,NA,NA
2016-04-14,"zika","Prevention and control of Zika fever as a mosquito-borne and sexually transmitted disease","arxiv","http://arxiv.org/abs/1604.04008v1","27312324","Sci Rep","Springer Nature","Journal Article",0,1
2016-04-18,"zika","High-Throughput Sequencing of Transposable Elements Insertions Suggests Adaptive Evolution of the Invasive Asian Tiger Mosquito Towards Temperate Environments","biorxiv","http://dx.doi.org/10.1101/049197","28517033","Mol Ecol",NA,"Journal Article",1,1
2016-04-20,"zika","Evaluation of Zika Vector Control Strategies Using Agent-Based Modeling","arxiv","http://arxiv.org/abs/1604.06121v2",NA,NA,NA,NA,NA,NA
2016-04-20,"zika","First detection of Zika virus in neotropical primates in Brazil: a possible new reservoir.","biorxiv","http://dx.doi.org/10.1101/049395",NA,NA,NA,NA,NA,NA
2016-04-24,"zika","Discovery of a persistent Zika virus lineage in Bahia, Brazil","biorxiv","http://dx.doi.org/10.1101/049916","27448188","Emerg Infect Dis",NA,"Journal Article",1,1
2016-04-24,"zika","The Epidemiology and Transmissibility of Zika Virus in Girardot and San Andres Island, Colombia","biorxiv","http://dx.doi.org/10.1101/049957","27452806","Euro Surveill",NA,"Journal Article",1,1
2016-04-25,"zika","Dengue Virus Antibodies Enhance Zika Virus Infection","biorxiv","http://dx.doi.org/10.1101/050112","28090318","Clin Transl Immunology","Springer Nature","Journal Article",1,1
2016-04-26,"zika","Atypical viral dynamics from transport through popular places","arxiv","http://arxiv.org/abs/1604.07637v2","27627314","Phys Rev E",NA,"Journal Article",0,1
2016-04-26,"zika","Comparative analysis of protein evolution and RNA structural changes in the genome of pre-epidemic and epidemic Zika virus","biorxiv","http://dx.doi.org/10.1101/050278","28315476","Infect Genet Evol",NA,"Journal Article",0,1
2016-04-29,"zika","Zika Fetal Neuropathogenesis: Etiology of a Viral Syndrome","biorxiv","http://dx.doi.org/10.1101/050674","27560129","PLoS Negl Trop Dis","PLOS","Journal Article",0,1
2016-05-02,"zika","Chloroquine inhibits Zika Virus infection in different cellular models","biorxiv","http://dx.doi.org/10.1101/051268","27916837","Viruses",NA,"Journal Article",1,1
2016-05-02,"zika","Risk estimates for microcephaly related to Zika virus infection - from French Polynesia to Bahia, Brazil","biorxiv","http://dx.doi.org/10.1101/051060","27222919","N Engl J Med","NEJM","Journal Article",0,1
2016-05-02,"zika","Mapping Zika virus infection using geographical information systems in Tolima, Colombia, 2015-2016.","F1000Res","http://dx.doi.org/10.12688/f1000research.8436.1","27134732","F1000Res","F1000","Journal Article",0,1
2016-05-02,"zika","Open drug discovery for the Zika virus.","F1000Res","http://dx.doi.org/10.12688/f1000research.8013.1","27134728","F1000Res","F1000","Journal Article",0,0
2016-05-03,"zika","Tracking Dengue Epidemics using Twitter Content Classification and Topic Modelling","arxiv","http://arxiv.org/abs/1605.00968v1",NA,NA,NA,NA,NA,NA
2016-05-09,"zika","Combined proteome and transcriptome analyses reveal that Zika virus circulating in Brazil alters cell cycle and neurogenic programmes in human neurospheres","peerj","http://dx.doi.org/10.7287/peerj.preprints.2033v1","28112162","Sci Rep","Springer Nature","Journal Article",1,1
2016-05-10,"zika","A Zika virus-associated microcephaly case with background exposure to STORCH agents","biorxiv","http://dx.doi.org/10.1101/052340",NA,NA,NA,NA,NA,NA
2016-05-12,"zika","3D perception of maximum density zone on Ramachandran plots for Zika virus protein structures","biorxiv","http://dx.doi.org/10.1101/053074",NA,NA,NA,NA,NA,NA
2016-05-12,"zika","search.bioPreprint: a discovery tool for cutting edge, preprint biomedical research articles","biorxiv","http://dx.doi.org/10.1101/052563","27508060","F1000Res","F1000","Journal Article",0,0
2016-05-15,"zika","Preventing Zika virus infection during pregnancy by timing conception seasonally","peerj","http://dx.doi.org/10.7287/peerj.preprints.1818v3","27467271","PLoS Biol","PLOS","Journal Article",0,1
2016-05-16,"zika","An end-to-end assembly of the Aedes aegypti genome","arxiv","http://arxiv.org/abs/1605.04619v2",NA,NA,NA,NA,NA,NA
2016-05-17,"zika","Serological evidence for localized and persistent antibody response in Zika virus-positive neonates with microcephaly (Brazil, 2015)- a secondary analysis","biorxiv","http://dx.doi.org/10.1101/051326",NA,NA,NA,NA,NA,NA
2016-05-18,"zika","Predicting intensities of Zika infection and microcephaly using transmission intensities of other arboviruses","zikaone","http://dx.doi.org/10.2471/BLT.16.174128",NA,NA,NA,NA,NA,NA
2016-05-20,"zika","Disruption of human astn2 function by ZIKV ns4b gene as a molecular basis for Zika viral microcephaly","biorxiv","http://dx.doi.org/10.1101/054486",NA,NA,NA,NA,NA,NA
2016-05-23,"zika","Zika virus phosphoproteome through the computational looking-glass and what we found there?","peerj","http://dx.doi.org/10.7287/peerj.preprints.2047v2",NA,NA,NA,NA,NA,NA
2016-05-24,"zika","Possible repurposing of seasonal influenza vaccine for prevention of Zika virus infection.","F1000Res","http://dx.doi.org/10.12688/f1000research.8102.2","27158449","F1000Res","F1000","Journal Article",0,1
2016-05-25,"zika","Zika in Rio de Janeiro: Assessment of basic reproduction number and comparison with dengue outbreaks","biorxiv","http://dx.doi.org/10.1101/055475","28240195","Epidemiol Infect",NA,"Comparative Study",NA,NA
2016-05-26,"zika","Sexual transmission causes a marked increase in the incidence of Zika in women in Rio de Janeiro, Brazil.","biorxiv","http://dx.doi.org/10.1101/055459","27664930","Int J Infect Dis",NA,"Journal Article",0,1
2016-05-27,"zika","An Outbreak Vector-host Epidemic Model with Spatial Structure: The 2015 Zika Outbreak in Rio de Janeiro","arxiv","http://arxiv.org/abs/1605.08726v2","28347332","Theor Biol Med Model",NA,"Journal Article",0,1
2016-06-04,"zika","Estimate of the reproduction number of the 2015 Zika virus outbreak in Barranquilla, Colombia, and estimation of the relative role of sexual transmission","arxiv","http://arxiv.org/abs/1606.01422v3","27846442","Epidemics",NA,"Journal Article",0,1
2016-06-07,"zika","Assessing real-time Zika risk in the United States","biorxiv","http://dx.doi.org/10.1101/056648","28468671","BMC Infect Dis",NA,"Journal Article",0,1
2016-06-15,"zika","Zika Virus in the Human Placenta and Developing Brain: Cell Tropism and Drug Inhibition","biorxiv","http://dx.doi.org/10.1101/058883","27911847","Proc Natl Acad Sci U S A",NA,"Journal Article",1,1
2016-06-17,"zika","Heterologous protection against Asian Zika virus challenge in rhesus macaques","biorxiv","http://dx.doi.org/10.1101/059592","27911897","PLoS Negl Trop Dis","PLOS","Journal Article",1,1
2016-06-19,"zika","Analyzing climate variations on multiple timescales can guide Zika virus response measures","biorxiv","http://dx.doi.org/10.1101/059808","27716414","Gigascience",NA,"Journal Article",0,1
2016-06-21,"zika","Extensive genetic differentiation between homomorphic sex chromosomes in the mosquito vector, Aedes aegypti","biorxiv","http://dx.doi.org/10.1101/060061",NA,NA,NA,NA,NA,NA
2016-06-27,"zika","A Preliminary Mathematical Model for the Dynamic Transmission of Dengue, Chikungunya and Zika","arxiv","http://arxiv.org/abs/1606.08233v1",NA,NA,NA,NA,NA,NA
2016-06-28,"zika","Virtual screening of inhibitors for the Zika virus proteins","biorxiv","http://dx.doi.org/10.1101/060798",NA,NA,NA,NA,NA,NA
2016-07-01,"zika","Dysregulation of Long Non-coding RNA (lncRNA) Genes and Predicted lncRNA-protein Interactions during Zika Virus Infection","biorxiv","http://dx.doi.org/10.1101/061788",NA,NA,NA,NA,NA,NA
2016-07-01,"zika","Differences in perceived severity of Zika virus infection and dengue fever and its influence on mosquito control practices in Malaysia, a dengue-endemic country","biorxiv","http://dx.doi.org/10.1101/061622","28238029","J Community Health",NA,"Journal Article",1,1
2016-07-06,"zika","The clinically approved antiviral drug sofosbuvir impairs Brazilian zika virus replication","biorxiv","http://dx.doi.org/10.1101/061671","28098253","Sci Rep","Springer Nature","Journal Article",1,1
2016-07-06,"zika","Kinetics of Zika virus persistence in semen","zikaone","http://dx.doi.org/10.2471/BLT.16.181370",NA,NA,NA,NA,NA,NA
2016-07-08,"zika","Animals in the Zika virus life cycle: what to expect from megadiverse Latin American countries.","biorxiv","http://dx.doi.org/10.1101/062034","28005902","PLoS Negl Trop Dis","PLOS","Journal Article",0,1
2016-07-09,"zika","A Potential Correlation Between the Temperature of the Pacific Ocean and Data from Google Trends May Yield a Warning Sign for the Outbreak of Zika","arxiv","http://arxiv.org/abs/1607.02581v1",NA,NA,NA,NA,NA,NA
2016-07-14,"zika","Thequeenslandensisand thetypeform of the dengue fever mosquito (Aedes aegyptiL.) are genomically indistinguishable","biorxiv","http://dx.doi.org/10.1101/063792","27806047","PLoS Negl Trop Dis","PLOS","Comparative Study",NA,NA
2016-07-15,"zika","Detecting the impact of temperature on transmission of Zika, dengue and chikungunya using mechanistic models","biorxiv","http://dx.doi.org/10.1101/063735","28448507","PLoS Negl Trop Dis","PLOS","Journal Article",0,1
